iteration,state_index,energy_hartree,thermal_weight,occupation
15,22,-1.0736509263986875,0.013680890636154906,4 7 2 3
15,23,-0.9974535787634567,0.010885242492908094,6 1 2 7
15,24,-0.9974535787634567,0.010885242492908094,0 7 6 3
15,25,-0.9768479379397003,0.010232726348430903,4 5 2 3
15,26,-0.8495695298447035,0.006984935966607825,0 1 6 7
16,0,-1.9662823663743523,0.19883455008313883,0 1 2 3
16,1,-1.6810654141651569,0.08450597278145494,0 1 2 5
16,2,-1.6810121012276742,0.08449245807731517,0 1 4 3
16,3,-1.5379788817821174,0.05501262027852726,4 1 2 3
16,4,-1.5379397715343175,0.05500616598554454,0 5 2 3
16,5,-1.5133045555229971,0.051087489315176746,0 1 4 5
16,6,-1.4759332830229859,0.04566927819345149,0 1 6 3
16,7,-1.4759006761814801,0.045664811019198524,0 1 2 7
16,8,-1.3733354080910034,0.03356997940329872,0 7 2 3
16,9,-1.3733153246045107,0.03356795685754529,6 1 2 3
16,10,-1.315098252794293,0.028188687121655318,0 5 4 3
16,11,-1.3150982527942872,0.028188687121654836,4 1 2 5
16,12,-1.2762291360854998,0.025086086793392637,0 5 2 7
16,13,-1.2762277195743963,0.0250859801894577,4 1 6 3
16,14,-1.245857159098946,0.02290138640591692,0 1 6 5
16,15,-1.2458571590989447,0.02290138640591683,0 1 4 7
16,16,-1.2322985469978855,0.02198854452129286,6 1 2 5
16,17,-1.232265467474646,0.021986362517855608,0 7 4 3
16,18,-1.1454521724673996,0.01694516412188138,4 1 2 7
16,19,-1.1454458457047552,0.016944842500839507,0 5 6 3
16,20,-1.1347123809722408,0.016407903116305102,6 7 2 3
16,21,-1.0736509263986849,0.0136614603078355,4 7 2 3
16,22,-1.0736509263986818,0.013661460307835367,6 5 2 3
16,23,-0.9974535787634536,0.01086978269273143,6 1 2 7
16,24,-0.9974535787634512,0.010869782692731353,0 7 6 3
16,25,-0.9695344428847139,0.009996442721201426,4 5 2 3
16,26,-0.8461949445393014,0.006904758466844719,0 1 6 7
17,0,-1.9660496321838576,0.19853957045275578,0 1 2 3
17,1,-1.6805947508783254,0.08432039621383118,0 1 4 3
17,2,-1.680537114164966,0.08430581762273985,0 1 2 5
17,3,-1.5387512533041696,0.055096891060917294,0 5 2 3
17,4,-1.5387068260642922,0.055089548141879656,4 1 2 3
17,5,-1.5171378638261561,0.051637756630402515,0 1 4 5
17,6,-1.4766573453828438,0.04573260803597369,0 1 2 7
17,7,-1.4766178786438053,0.045727193605794136,0 1 6 3
17,8,-1.373276591256619,0.033537670675984205,6 1 2 3
17,9,-1.3732513421348826,0.03353513038200677,0 7 2 3
17,10,-1.3150982527942832,0.028166527066407612,0 5 4 3
17,11,-1.3150982527942818,0.028166527066407498,4 1 2 5
17,12,-1.2734615422682949,0.024859106840992684,4 1 6 3
17,13,-1.2734596669653553,0.02485896698631768,0 5 2 7
17,14,-1.245857159098939,0.022883382871881835,0 1 4 7
17,15,-1.245857159098938,0.022883382871881772,0 1 6 5
17,16,-1.237879015241925,0.0223421845826538,0 7 4 3
17,17,-1.2378491490996166,0.02234018284773861,6 1 2 5
17,18,-1.146106755154188,0.01696512551269237,0 5 6 3
